Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   5 G 337    134     124.67      3.774		0.9638617900038227 | 0.01

 R   5 G 338    134    124.418      3.946		0.9538617900038227 | 0.01

 R   5 G 339    138    124.694      3.825		0.9538617900038227 | 0.01

 R   5 G 340    134    124.654      3.878		0.9538617900038227 | 0.0

 R   5 G 341    136    124.714      3.929		0.9538617900038227 | 0.0

 R   5 G 342    134    124.662      3.985		0.9538617900038227 | 0.0

 R   5 G 343    136    124.634      4.057		0.9538617900038227 | 0.0

 R   5 G 344    136    124.652      3.915		0.9538617900038227 | 0.0

 R   5 G 345    136    124.612      3.915		0.9538617900038227 | 0.01

 R   5 G 346    134    124.482      3.766		0.9538617900038227 | 0.0

 R   5 G 347    138     124.66      3.838		0.9538617900038227 | 0.0

 R   5 G 348    136     124.72      4.016		0.9638617900038227 | 0.01

 R   5 G 349    136    124.552      4.045		0.9438617900038226 | 0.0

 R   5 G 350    136    124.772      3.771		0.9538617900038227 | 0.01

 R   5 G 351    136     124.51      3.932		0.9638617900038227 | 0.0

 R   5 G 352    136     124.66      3.849		0.9538617900038227 | 0.0

 R   5 G 353    134     124.61      3.784		0.9538617900038227 | 0.01

 R   5 G 354    134     124.66      3.832		0.9638617900038227 | 0.0

 R   5 G 355    136    124.536      3.931		0.9538617900038227 | 0.01

 R   5 G 356    134    124.534      3.799		0.9638617900038227 | 0.01

 R   5 G 357    136    124.668      3.868		0.9538617900038227 | 0.0

 R   5 G 358    136    124.532      3.782		0.9538617900038227 | 0.0

 R   5 G 359    136    124.732      3.789		0.9538617900038227 | 0.0

 R   5 G 360    136     124.64      3.892		0.9738617900038227 | 0.0

 R   5 G 361    134    124.356      3.907		0.9438617900038226 | 0.0

 R   5 G 362    134    124.406      3.976		0.9538617900038227 | 0.0

 R   5 G 363    136    124.722      3.769		0.9538617900038227 | 0.0

 R   5 G 364    136    124.644      3.834		0.9638617900038227 | 0.01

 R   5 G 365    136    124.638      4.015		0.9538617900038227 | 0.0

 R   5 G 366    138    124.548      3.788		0.9538617900038227 | 0.01

 R   5 G 367    136    124.494      3.808		0.9638617900038227 | 0.0

 R   5 G 368    134    124.484      3.783		0.9438617900038226 | 0.0

 R   5 G 369    136    124.378      3.817		0.9438617900038226 | 0.01

 R   5 G 370    134    124.492      3.756		0.9438617900038226 | 0.0

 R   5 G 371    136    124.584      3.926		0.9638617900038227 | 0.0

 R   5 G 372    136     124.58      4.009		0.9438617900038226 | 0.0

 R   5 G 373    134    124.532      3.849		0.9538617900038227 | 0.01

 R   5 G 374    136    124.774      3.892		0.9638617900038227 | 0.01

 R   5 G 375    134     124.54      3.879		0.9438617900038226 | 0.0

 R   5 G 376    138    124.552      3.809		0.9438617900038226 | 0.0

 R   5 G 377    134    124.616      3.771		0.9438617900038226 | 0.0

 R   5 G 378    134     124.45      3.957		0.9438617900038226 | 0.0

 R   5 G 379    136    124.548      3.816		0.9738617900038227 | 0.0

 R   5 G 380    134     124.65       3.89		0.9638617900038227 | 0.0

 R   5 G 381    136     124.45      4.005		0.9738617900038227 | 0.0

 R   5 G 382    136     124.54      3.916		0.9738617900038227 | 0.0

 R   5 G 383    136    124.558      3.716		0.9438617900038226 | 0.0

 R   5 G 384    134    124.682      3.755		0.9738617900038227 | 0.0

 R   5 G 385    134    124.676      3.712		0.9638617900038227 | 0.0

 R   5 G 386    134    124.516      3.856		0.9638617900038227 | 0.0

 R   5 G 387    136     124.75      3.918		0.9538617900038227 | 0.0

 R   5 G 388    136    124.562      3.941		0.9638617900038227 | 0.0

 R   5 G 389    134    124.624      3.832		0.9638617900038227 | 0.0

 R   5 G 390    138    124.724      3.952		0.9638617900038227 | 0.01

 R   5 G 391    136    124.578      3.944		0.9738617900038227 | 0.0

 R   5 G 392    136    124.586      3.949		0.9638617900038227 | 0.0

 R   5 G 393    134    124.452      3.909		0.9338617900038226 | 0.0

 R   5 G 394    136    124.692      3.863		0.9338617900038226 | 0.0

 R   5 G 395    140    124.726      3.859		0.9338617900038226 | 0.0

 R   5 G 396    136    124.396      3.892		0.9638617900038227 | 0.01

 R   5 G 397    134    124.578       3.91		0.9338617900038226 | 0.0

 R   5 G 398    136    124.478      4.024		0.9438617900038226 | 0.0

 R   5 G 399    136     124.44        3.8		0.9638617900038227 | 0.0

 R   5 G 400    136     124.66      3.807		0.9338617900038226 | 0.0

 R   5 G 401    138    124.632      3.896		0.9738617900038227 | 0.0

 R   5 G 402    134    124.698      3.716		0.9638617900038227 | 0.0

 R   5 G 403    136    124.658      3.861		0.9538617900038227 | 0.0

 R   5 G 404    136    124.714      3.695		0.9738617900038227 | 0.0

 R   5 G 405    140     124.68      3.945		0.9638617900038227 | 0.0

 R   5 G 406    136    124.546      3.874		0.9638617900038227 | 0.01

 R   5 G 407    136    124.596       4.08		0.9638617900038227 | 0.01

 R   5 G 408    136    124.722      3.972		0.9638617900038227 | 0.01

 R   5 G 409    134     124.56      3.811		0.9638617900038227 | 0.0

 R   5 G 410    136    124.652      3.825		0.9438617900038226 | 0.0

 R   5 G 411    136      124.6      3.801		0.9638617900038227 | 0.0

 R   5 G 412    136    124.642      3.753		0.9638617900038227 | 0.0

 R   5 G 413    136     124.64      3.764		0.9438617900038226 | 0.0

 R   5 G 414    134     124.49      3.824		0.9738617900038227 | 0.0

 R   5 G 415    134     124.41      3.756		0.9638617900038227 | 0.01

 R   5 G 416    136    124.434      3.874		0.9338617900038226 | 0.01

 R   5 G 417    138    124.504      3.917		0.9338617900038226 | 0.0

 R   5 G 418    136    124.774      3.836		0.9338617900038226 | 0.0

 R   5 G 419    136    124.466      4.065		0.9638617900038227 | 0.0

 R   5 G 420    136     124.81      3.832		0.9838617900038227 | 0.0

 R   5 G 421    134    124.514      3.763		0.9638617900038227 | 0.01

 R   5 G 422    136    124.454       3.79		0.9638617900038227 | 0.0

 R   5 G 423    138    124.594      3.818		0.9338617900038226 | 0.0

 R   5 G 424    134    124.386      3.836		0.9638617900038227 | 0.0

 R   5 G 425    136    124.738      3.743		0.9738617900038227 | 0.0

 R   5 G 426    138    124.704      3.805		0.9638617900038227 | 0.01

 R   5 G 427    136    124.658      3.784		0.9638617900038227 | 0.0

 R   5 G 428    134    124.324      3.851		0.9638617900038227 | 0.01

 R   5 G 429    140    124.692      3.756		0.9338617900038226 | 0.0

 R   5 G 430    134    124.532      3.775		0.9838617900038227 | 0.0

 R   5 G 431    136    124.564      3.604		0.9638617900038227 | 0.0

 R   5 G 432    138     124.56      3.761		0.9638617900038227 | 0.0

 R   5 G 433    134    124.444      3.642		0.9638617900038227 | 0.0

 R   5 G 434    136    124.574      3.736		0.9538617900038227 | 0.0

 R   5 G 435    136     124.63      3.692		0.9638617900038227 | 0.0

 R   5 G 436    136    124.676      3.693		0.9638617900038227 | 0.0

 R   5 G 437    134    124.764      3.833		0.9638617900038227 | 0.01

 R   5 G 438    134    124.602      3.757		0.9638617900038227 | 0.01

 R   5 G 439    134    124.534      3.792		0.9638617900038227 | 0.01

 R   5 G 440    134    124.598      3.696		0.9638617900038227 | 0.0

 R   5 G 441    136    124.618      3.713		0.9638617900038227 | 0.01

 R   5 G 442    136     124.53      3.751		0.9538617900038227 | 0.0

 R   5 G 443    134    124.654      3.763		0.9638617900038227 | 0.01

 R   5 G 444    134    124.648       3.75		0.9538617900038227 | 0.01

 R   5 G 445    136    124.764      3.724		0.9638617900038227 | 0.01

 R   5 G 446    136    124.594      3.765		0.9638617900038227 | 0.0

 R   5 G 447    134    124.546      3.748		0.9638617900038227 | 0.0

 R   5 G 448    134     124.64      3.758		0.9638617900038227 | 0.0

 R   5 G 449    134     124.46      3.758		0.9538617900038227 | 0.0

 R   5 G 450    138     124.59      3.719		0.9638617900038227 | 0.0

 R   5 G 451    134    124.704      3.751		0.9738617900038227 | 0.0

 R   5 G 452    134    124.534      3.756		0.9638617900038227 | 0.0

 R   5 G 453    136    124.572      3.566		0.9638617900038227 | 0.0

 R   5 G 454    136    124.422      3.807		0.9638617900038227 | 0.01

 R   5 G 455    136    124.562       3.79		0.9538617900038227 | 0.01

 R   5 G 456    136     124.48      3.805		0.9538617900038227 | 0.0

 R   5 G 457    136    124.538      3.617		0.9638617900038227 | 0.01

 R   5 G 458    136     124.86      3.763		0.9638617900038227 | 0.0

 R   5 G 459    134    124.806       3.56		0.9538617900038227 | 0.0

 R   5 G 460    134    124.716      3.723		0.9638617900038227 | 0.01

 R   5 G 461    134    124.786      3.717		0.9638617900038227 | 0.0

 R   5 G 462    134    124.856      3.608		0.9638617900038227 | 0.0

 R   5 G 463    136    124.756      3.703		0.9638617900038227 | 0.0

 R   5 G 464    134    124.824      3.782		0.9638617900038227 | 0.0

 R   5 G 465    140    124.706      3.815		0.9638617900038227 | 0.01

 R   5 G 466    134    124.702      3.699		0.9638617900038227 | 0.0

 R   5 G 467    134    124.668      3.606		0.9638617900038227 | 0.01

 R   5 G 468    136    124.672      3.749		0.9638617900038227 | 0.0

 R   5 G 469    134    124.718      3.657		0.9638617900038227 | 0.01

 R   5 G 470    136    124.714      3.653		0.9638617900038227 | 0.0

 R   5 G 471    136    124.586      3.754		0.9638617900038227 | 0.01

 R   5 G 472    134    124.584      3.702		0.9738617900038227 | 0.0

 R   5 G 473    134     124.44      3.838		0.9638617900038227 | 0.0

 R   5 G 474    134    124.404      3.644		0.9438617900038226 | 0.01

 R   5 G 475    134    124.764      3.656		0.9738617900038227 | 0.0

 R   5 G 476    136     124.66      3.535		0.9638617900038227 | 0.01

 R   5 G 477    134    124.664      3.546		0.9638617900038227 | 0.0

 R   5 G 478    134    124.666      3.671		0.9538617900038227 | 0.01

 R   5 G 479    138    124.808      3.614		0.9638617900038227 | 0.0

 R   5 G 480    134    124.544       3.69		0.9638617900038227 | 0.0

 R   5 G 481    134    124.546      3.677		0.9738617900038227 | 0.0

 R   5 G 482    136    124.524      3.743		0.9738617900038227 | 0.0

 R   5 G 483    134    124.504       3.81		0.9638617900038227 | 0.0

 R   5 G 484    136    125.038      3.595		0.9638617900038227 | 0.02

 R   5 G 485    138    124.542      3.713		0.9638617900038227 | 0.0

 R   5 G 486    134     124.62      3.738		0.9638617900038227 | 0.0

 R   5 G 487    134    124.726      3.659		0.9538617900038227 | 0.01

 R   5 G 488    134     124.67      3.869		0.9538617900038227 | 0.01

 R   5 G 489    134    124.586      3.728		0.9638617900038227 | 0.0

 R   5 G 490    136    124.706      3.701		0.9538617900038227 | 0.01

 R   5 G 491    136    124.598       3.73		0.9638617900038227 | 0.0

 R   5 G 492    134    124.574      3.924		0.9638617900038227 | 0.0

 R   5 G 493    136    124.592      3.729		0.9638617900038227 | 0.0

 R   5 G 494    136      124.7      3.914		0.9538617900038227 | 0.0

 R   5 G 495    134    124.816      3.735		0.9738617900038227 | 0.0

 R   5 G 496    138    124.654      3.713		0.9538617900038227 | 0.01

 R   5 G 497    134    124.672       3.68		0.9638617900038227 | 0.0

 R   5 G 498    136     124.74      3.979		0.9638617900038227 | 0.0

 R   5 G 499    134     124.79      3.733		0.9638617900038227 | 0.0

5      1###########        0.0 RawFitness
           0          0          150

 R   6 G   0    142    119.556      7.632		0.6897410584093217 | 0.09484188305910934

 R   6 G   1    144    119.532      7.746		0.7774513614452416 | 0.13506976520033376

 R   6 G   2    146    120.166      8.036		0.35400691448535015 | 0.2563287419035152

 R   6 G   3    142    121.212       7.59		0.27948553262509346 | 0.5088138875172783

 R   6 G   4    142    121.306      6.995		0.719461521433823 | 0.5071649262009261

 R   6 G   5    144     121.76      6.999		0.3141772195206366 | 0.5409448796458838

 R   6 G   6    142    122.086      6.941		0.46382191339766576 | 0.023466961298227118

 R   6 G   7    142    122.102      6.654		0.18306714196979734 | 0.06134096445897208

 R   6 G   8    140     122.27      6.431		0.7774513614452416 | 0.13506976520033376

 R   6 G   9    146     122.06      6.692		0.4757554183647761 | 0.29554114344025084

 R   6 G  10    142    122.524      6.588		0.5010877805730845 | 0.5494583234106896

 R   6 G  11    144    122.518      6.195		0.5337872094970993 | 0.24311979623315394

 R   6 G  12    142    122.818      6.002		0.7554903767593384 | 0.0

 R   6 G  13    144    123.104      5.787		0.18306714196979734 | 0.07134096445897208

 R   6 G  14    142    122.952      5.907		0.20763619683539736 | 0.21132475052600763

 R   6 G  15    138    123.032      5.394		0.8935586973965423 | 0.08919019577930976

 R   6 G  16    140    123.382       5.48		0.1441771822447877 | 0.03623049663907629

 R   6 G  17    142    123.366      5.541		0.24453041235188144 | 0.005626096875457676

 R   6 G  18    140    123.532      5.446		0.7554903767593384 | 0.009084165389189436

 R   6 G  19    142     123.03      5.377		0.29401348309010866 | 0.08173117967931776

 R   6 G  20    140    123.294      5.385		0.28401348309010865 | 0.08173117967931776

 R   6 G  21    150    123.382      5.501		0.31833588278255565 | 0.14046174501435071

 R   6 G  22    138    123.542      5.213		0.049430342708540076 | 0.038788711049782765

 R   6 G  23    146    123.428      5.511		0.46382191339766576 | 0.023466961298227118

 R   6 G  24    142    123.406      5.368		0.29401348309010866 | 0.08173117967931776

 R   6 G  25    144     123.46      5.479		0.46382191339766576 | 0.023466961298227118

 R   6 G  26    144    123.392      5.611		0.24453041235188144 | 0.005626096875457676

 R   6 G  27    140    123.742      5.407		0.46382191339766576 | 0.023466961298227118

 R   6 G  28    140    123.226      5.518		0.29401348309010866 | 0.08173117967931776

 R   6 G  29    142    123.392      5.615		0.039430342708540074 | 0.038788711049782765

 R   6 G  30    140    123.672      5.645		0.46382191339766576 | 0.023466961298227118

 R   6 G  31    140    123.778      5.468		0.24453041235188144 | 0.005626096875457676

 R   6 G  32    142    123.542      5.589		0.4838219133976658 | 0.023466961298227118

 R   6 G  33    140     123.44      5.575		0.30401348309010867 | 0.08173117967931776

 R   6 G  34    142    123.502      5.511		0.24453041235188144 | 0.005626096875457676

 R   6 G  35    144     123.49      5.552		0.29401348309010866 | 0.08173117967931776

 R   6 G  36    140    123.706      5.623		0.049430342708540076 | 0.038788711049782765

 R   6 G  37    144    123.388      5.589		0.29401348309010866 | 0.08173117967931776

 R   6 G  38    138    123.636      5.431		0.4838219133976658 | 0.023466961298227118

 R   6 G  39    146    123.288      5.586		0.29401348309010866 | 0.08173117967931776

 R   6 G  40    148    123.196      5.764		0.29401348309010866 | 0.08173117967931776

 R   6 G  41    142    123.316      5.497		0.039430342708540074 | 0.038788711049782765

 R   6 G  42    142    123.676      5.492		0.29401348309010866 | 0.08173117967931776

 R   6 G  43    142    123.352      5.541		0.8935586973965423 | 0.08919019577930976

 R   6 G  44    142    123.424      5.499		0.7654903767593384 | 0.0

 R   6 G  45    140    123.624      5.393		0.7554903767593384 | 0.0

 R   6 G  46    142    123.526       5.52		0.29401348309010866 | 0.08173117967931776

 R   6 G  47    138    123.798       5.23		0.29401348309010866 | 0.08173117967931776

 R   6 G  48    140    123.506      5.262		0.29401348309010866 | 0.08173117967931776

 R   6 G  49    140    123.528      5.442		0.029430342708540072 | 0.038788711049782765

 R   6 G  50    146    123.278      5.475		0.29401348309010866 | 0.08173117967931776

 R   6 G  51    144    123.572      5.317		0.7554903767593384 | 0.009084165389189436

 R   6 G  52    142    123.422      5.156		0.28401348309010865 | 0.08173117967931776

 R   6 G  53    142    123.678      5.268		0.7654903767593384 | 0.0

 R   6 G  54    148     123.55      5.224		0.29401348309010866 | 0.08173117967931776

 R   6 G  55    140     123.87      5.208		0.8735586973965422 | 0.08919019577930976

 R   6 G  56    140    123.588      5.281		0.049430342708540076 | 0.038788711049782765

 R   6 G  57    140    123.264      5.317		0.24453041235188144 | 0.005626096875457676

 R   6 G  58    142    123.596       5.35		0.24453041235188144 | 0.005626096875457676

 R   6 G  59    140    123.822      5.294		0.24453041235188144 | 0.005626096875457676

 R   6 G  60    140    124.026      5.137		0.29401348309010866 | 0.08173117967931776

 R   6 G  61    140     123.67      5.034		0.049430342708540076 | 0.038788711049782765

 R   6 G  62    142    123.716      5.324		0.29401348309010866 | 0.08173117967931776
