Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009
 R   8 G  63    231    219.948      3.655		0.9922365961457074 | 0.052966664263141

 R   8 G  64    229    220.084      3.615		0.9922365961457074 | 0.042966664263141

 R   8 G  65    227    220.192      3.573		1.0 | 0.042966664263141

 R   8 G  66    229    219.888      3.599		0.9922365961457074 | 0.052966664263141

 R   8 G  67    229    220.204      3.719		1.0 | 0.042966664263141

 R   8 G  68    229     220.24      3.525		0.9922365961457074 | 0.042966664263141

 R   8 G  69    229    219.868      3.701		1.0 | 0.042966664263141

 R   8 G  70    229     220.16      3.724		1.0 | 0.042966664263141

 R   8 G  71    229      220.1      3.734		1.0 | 0.032966664263140995

 R   8 G  72    231     220.36      3.782		0.9822365961457074 | 0.042966664263141

 R   8 G  73    229    219.796      3.685		1.0 | 0.042966664263141

 R   8 G  74    229    220.176      3.979		0.9922365961457074 | 0.042966664263141

 R   8 G  75    229     220.04      3.514		1.0 | 0.042966664263141

 R   8 G  76    229      220.4      3.546		1.0 | 0.042966664263141

 R   8 G  77    229    220.152      3.523		0.9922365961457074 | 0.042966664263141

 R   8 G  78    229    220.104      3.741		1.0 | 0.052966664263141

 R   8 G  79    229    220.244       3.52		1.0 | 0.032966664263140995

 R   8 G  80    231    220.124      3.596		0.9922365961457074 | 0.042966664263141

 R   8 G  81    229    220.272      3.428		1.0 | 0.042966664263141

 R   8 G  82    229    220.168      3.536		1.0 | 0.032966664263140995

 R   8 G  83    229    220.344      3.407		1.0 | 0.032966664263140995

 R   8 G  84    229    220.336      3.593		1.0 | 0.032966664263140995

 R   8 G  85    229    220.016      3.564		1.0 | 0.032966664263140995

 R   8 G  86    229    220.296      3.507		1.0 | 0.042966664263141

 R   8 G  87    229    220.668      3.349		1.0 | 0.042966664263141

 R   8 G  88    229    220.144      3.577		1.0 | 0.052966664263141

 R   8 G  89    231    220.144      3.602		0.99 | 0.042966664263141

 R   8 G  90    229    220.368      3.491		1.0 | 0.032966664263140995

 R   8 G  91    229    220.152      3.527		1.0 | 0.042966664263141

 R   8 G  92    229    220.276      3.434		1.0 | 0.032966664263140995

 R   8 G  93    229    220.376       3.54		1.0 | 0.052966664263141

 R   8 G  94    229    220.296      3.539		1.0 | 0.032966664263140995

 R   8 G  95    229    220.336      3.375		1.0 | 0.032966664263140995

 R   8 G  96    229     220.14      3.618		1.0 | 0.032966664263140995

 R   8 G  97    229    220.228      3.602		1.0 | 0.032966664263140995

 R   8 G  98    229     220.28      3.625		1.0 | 0.032966664263140995

 R   8 G  99    229    220.488      3.533		0.99 | 0.032966664263140995

 R   8 G 100    229    220.252      3.571		1.0 | 0.032966664263140995

 R   8 G 101    229    220.428      3.409		1.0 | 0.052966664263141

 R   8 G 102    229    220.324      3.486		1.0 | 0.052966664263141

 R   8 G 103    229    220.128      3.452		1.0 | 0.032966664263140995

 R   8 G 104    229    220.284      3.576		0.99 | 0.042966664263141

 R   8 G 105    229     220.34      3.816		1.0 | 0.032966664263140995

 R   8 G 106    229    220.304      3.462		1.0 | 0.032966664263140995

 R   8 G 107    229     220.44      3.508		1.0 | 0.032966664263140995

 R   8 G 108    229    220.288      3.544		1.0 | 0.032966664263140995

 R   8 G 109    229    220.592      3.441		1.0 | 0.032966664263140995

 R   8 G 110    229    220.448      3.516		1.0 | 0.032966664263140995

 R   8 G 111    229    220.584      3.426		1.0 | 0.032966664263140995

 R   8 G 112    229    220.544      3.137		1.0 | 0.022966664263140993

 R   8 G 113    229    220.584      3.463		1.0 | 0.032966664263140995

 R   8 G 114    229    220.308      3.469		1.0 | 0.022966664263140993

 R   8 G 115    229    220.392      3.425		1.0 | 0.032966664263140995

 R   8 G 116    229    220.432      3.357		1.0 | 0.032966664263140995

 R   8 G 117    229    220.212      3.551		1.0 | 0.032966664263140995

 R   8 G 118    229    220.224      3.382		1.0 | 0.042966664263141

 R   8 G 119    229     220.54      3.466		1.0 | 0.032966664263140995

 R   8 G 120    229     220.62       3.45		1.0 | 0.032966664263140995

 R   8 G 121    229    220.544      3.484		1.0 | 0.032966664263140995

 R   8 G 122    229    220.452      3.446		1.0 | 0.032966664263140995

 R   8 G 123    229    220.356      3.443		1.0 | 0.032966664263140995

 R   8 G 124    229    220.204      3.294		1.0 | 0.032966664263140995

 R   8 G 125    229    220.328      3.453		1.0 | 0.032966664263140995

 R   8 G 126    229    220.128      3.452		0.99 | 0.042966664263141

 R   8 G 127    229    220.156      3.433		1.0 | 0.032966664263140995

 R   8 G 128    229    220.368      3.321		1.0 | 0.032966664263140995

 R   8 G 129    229    220.344      3.566		1.0 | 0.032966664263140995

 R   8 G 130    229    220.644      3.361		0.99 | 0.022966664263140993

 R   8 G 131    229    220.484      3.451		1.0 | 0.042966664263141

 R   8 G 132    229    220.548      3.411		1.0 | 0.032966664263140995

 R   8 G 133    229     220.38       3.41		1.0 | 0.032966664263140995

 R   8 G 134    229    220.324      3.326		1.0 | 0.032966664263140995

 R   8 G 135    229    220.392      3.522		1.0 | 0.032966664263140995

 R   8 G 136    229    220.376      3.299		1.0 | 0.032966664263140995

 R   8 G 137    229    220.344      3.379		1.0 | 0.012966664263140993

 R   8 G 138    229     220.58       3.45		1.0 | 0.032966664263140995

 R   8 G 139    229    220.324      3.574		1.0 | 0.032966664263140995

 R   8 G 140    229    220.408      3.304		1.0 | 0.042966664263141

 R   8 G 141    229    220.308      3.432		1.0 | 0.032966664263140995

 R   8 G 142    229      220.3      3.369		1.0 | 0.022966664263140993

 R   8 G 143    229    220.464      3.449		1.0 | 0.022966664263140993

 R   8 G 144    229    220.456      3.286		1.0 | 0.022966664263140993

 R   8 G 145    229    220.352      3.513		1.0 | 0.032966664263140995

 R   8 G 146    229    220.196      3.511		1.0 | 0.032966664263140995

 R   8 G 147    229    220.408      3.386		1.0 | 0.032966664263140995

 R   8 G 148    229    220.484      3.458		1.0 | 0.032966664263140995

 R   8 G 149    229    220.368      3.362		1.0 | 0.022966664263140993

 R   8 G 150    229    220.088      3.307		1.0 | 0.042966664263141

 R   8 G 151    229      220.7      3.323		0.99 | 0.032966664263140995

 R   8 G 152    227    220.476      3.209		1.0 | 0.032966664263140995

 R   8 G 153    229     220.62      3.473		1.0 | 0.032966664263140995

 R   8 G 154    229    220.384      3.484		1.0 | 0.032966664263140995

 R   8 G 155    229    220.476      3.303		1.0 | 0.012966664263140993

 R   8 G 156    229      220.6      3.493		1.0 | 0.032966664263140995

 R   8 G 157    229    220.528      3.477		1.0 | 0.032966664263140995

 R   8 G 158    229    220.732      3.554		1.0 | 0.032966664263140995

 R   8 G 159    229    220.648       3.28		1.0 | 0.032966664263140995

 R   8 G 160    229     220.44      3.434		1.0 | 0.032966664263140995

 R   8 G 161    229    220.348      3.411		0.99 | 0.032966664263140995

 R   8 G 162    229    220.964      3.427		0.99 | 0.032966664263140995

 R   8 G 163    229    220.556       3.57		1.0 | 0.032966664263140995

 R   8 G 164    229    220.612      3.206		1.0 | 0.032966664263140995

 R   8 G 165    229    220.384      3.382		1.0 | 0.012966664263140993

 R   8 G 166    231    221.004      3.351		0.99 | 0.022966664263140993

 R   8 G 167    229    220.436      3.483		1.0 | 0.032966664263140995

 R   8 G 168    229     220.12      3.612		1.0 | 0.032966664263140995

 R   8 G 169    229    220.512      3.555		1.0 | 0.032966664263140995

 R   8 G 170    229    220.292      3.642		1.0 | 0.032966664263140995

 R   8 G 171    229     220.32      3.972		1.0 | 0.032966664263140995

 R   8 G 172    229    220.308      3.732		1.0 | 0.032966664263140995

 R   8 G 173    229    220.492      3.544		1.0 | 0.032966664263140995

 R   8 G 174    229     220.56      3.411		0.98 | 0.022966664263140993

 R   8 G 175    229    220.376      3.623		1.0 | 0.032966664263140995

 R   8 G 176    229    220.576       3.38		1.0 | 0.032966664263140995

 R   8 G 177    231    220.192      3.604		0.98 | 0.022966664263140993

 R   8 G 178    233    220.312      3.598		0.99 | 0.032966664263140995

 R   8 G 179    229    219.896      3.594		1.0 | 0.022966664263140993

 R   8 G 180    229    220.396      3.469		1.0 | 0.032966664263140995

 R   8 G 181    231    220.172      3.834		0.98 | 0.022966664263140993

 R   8 G 182    229     220.52      3.462		1.0 | 0.032966664263140995

 R   8 G 183    231    220.264      3.626		0.99 | 0.032966664263140995

 R   8 G 184    229    220.112       3.77		1.0 | 0.032966664263140995

 R   8 G 185    229    220.256      3.417		1.0 | 0.032966664263140995

 R   8 G 186    229    220.008      3.394		0.99 | 0.032966664263140995

 R   8 G 187    229      220.5      3.802		1.0 | 0.032966664263140995

 R   8 G 188    231    219.988       3.71		0.99 | 0.032966664263140995

 R   8 G 189    229    220.204      3.691		0.99 | 0.032966664263140995

 R   8 G 190    229    220.232      4.054		1.0 | 0.032966664263140995

 R   8 G 191    229      220.2       3.88		1.0 | 0.032966664263140995

 R   8 G 192    229    220.408      3.809		0.99 | 0.032966664263140995

 R   8 G 193    229     220.46      3.716		1.0 | 0.032966664263140995

 R   8 G 194    229    220.076      3.579		0.99 | 0.032966664263140995

 R   8 G 195    229    220.224       3.85		0.99 | 0.032966664263140995

 R   8 G 196    231    220.288       3.64		0.98 | 0.032966664263140995

 R   8 G 197    229    220.088      3.784		0.98 | 0.032966664263140995

 R   8 G 198    229    220.492      3.512		0.99 | 0.032966664263140995

 R   8 G 199    229    220.188      3.897		1.0 | 0.032966664263140995

 R   8 G 200    229    220.292      3.622		1.0 | 0.032966664263140995

 R   8 G 201    229    220.252      3.517		0.99 | 0.032966664263140995

 R   8 G 202    231    220.304      3.623		0.98 | 0.032966664263140995

 R   8 G 203    231    220.392      3.608		0.99 | 0.032966664263140995

 R   8 G 204    229    220.516      3.691		0.98 | 0.032966664263140995

 R   8 G 205    229    220.364       3.75		1.0 | 0.032966664263140995

 R   8 G 206    229    220.188      3.487		0.99 | 0.032966664263140995

 R   8 G 207    229    220.472      3.638		1.0 | 0.032966664263140995

 R   8 G 208    231    220.416      3.728		0.99 | 0.032966664263140995

 R   8 G 209    229    220.324      3.788		0.98 | 0.032966664263140995

 R   8 G 210    229     220.18      3.808		0.99 | 0.032966664263140995

 R   8 G 211    229    220.332      3.342		1.0 | 0.032966664263140995

 R   8 G 212    229    220.192      3.456		1.0 | 0.032966664263140995

 R   8 G 213    229     220.34       3.74		0.99 | 0.032966664263140995

 R   8 G 214    231    220.084      3.599		0.99 | 0.022966664263140993

 R   8 G 215    229    220.428        3.5		1.0 | 0.022966664263140993

 R   8 G 216    229     220.38       3.42		1.0 | 0.032966664263140995

 R   8 G 217    229     220.38      3.569		1.0 | 0.032966664263140995

 R   8 G 218    229    220.492       3.51		1.0 | 0.022966664263140993

 R   8 G 219    231    220.148      3.468		0.99 | 0.032966664263140995

 R   8 G 220    229    220.428      3.364		1.0 | 0.022966664263140993

 R   8 G 221    229    220.348      3.402		0.99 | 0.022966664263140993

 R   8 G 222    229    220.968      3.511		1.0 | 0.022966664263140993

 R   8 G 223    229    220.684       3.67		1.0 | 0.042966664263141

 R   8 G 224    229    220.292      3.496		1.0 | 0.022966664263140993

 R   8 G 225    229    220.208      3.719		1.0 | 0.032966664263140995

 R   8 G 226    229    220.576      3.444		1.0 | 0.032966664263140995

 R   8 G 227    229    220.704      3.439		1.0 | 0.032966664263140995

 R   8 G 228    229    220.308      3.542		1.0 | 0.022966664263140993

 R   8 G 229    229    220.304      3.511		1.0 | 0.042966664263141

 R   8 G 230    229     220.64      3.477		1.0 | 0.022966664263140993

 R   8 G 231    229    220.348        3.4		0.99 | 0.022966664263140993

 R   8 G 232    229    220.432      3.549		1.0 | 0.022966664263140993

 R   8 G 233    229    220.592      3.427		1.0 | 0.022966664263140993

 R   8 G 234    229    220.324      3.529		1.0 | 0.012966664263140993

 R   8 G 235    231    220.624      3.486		0.99 | 0.022966664263140993

 R   8 G 236    229    220.176      3.389		1.0 | 0.032966664263140995

 R   8 G 237    229    220.336      3.293		1.0 | 0.022966664263140993

 R   8 G 238    229    220.332       3.49		1.0 | 0.032966664263140995

 R   8 G 239    229     220.52      3.467		1.0 | 0.022966664263140993

 R   8 G 240    229    220.416      3.401		1.0 | 0.022966664263140993

 R   8 G 241    229      220.7      3.432		1.0 | 0.022966664263140993

 R   8 G 242    229    220.616      3.347		1.0 | 0.012966664263140993

 R   8 G 243    229    220.832      3.461		1.0 | 0.022966664263140993

 R   8 G 244    231     220.44      3.382		0.99 | 0.032966664263140995

 R   8 G 245    229    220.484      3.435		1.0 | 0.032966664263140995

 R   8 G 246    229    220.772      3.331		1.0 | 0.042966664263141

 R   8 G 247    229      220.6      3.376		1.0 | 0.022966664263140993

 R   8 G 248    229    220.476      3.334		1.0 | 0.032966664263140995

 R   8 G 249    229    220.232      3.321		1.0 | 0.022966664263140993

 R   8 G 250    229    220.564      3.289		1.0 | 0.022966664263140993

 R   8 G 251    229    220.432      3.257		1.0 | 0.022966664263140993

 R   8 G 252    229    220.488      3.187		1.0 | 0.022966664263140993

 R   8 G 253    229    220.548      3.321		1.0 | 0.022966664263140993

 R   8 G 254    229    220.608      3.457		0.99 | 0.022966664263140993

 R   8 G 255    229    220.152      3.423		1.0 | 0.022966664263140993

 R   8 G 256    229     220.52      3.443		1.0 | 0.022966664263140993

 R   8 G 257    229    220.388      3.317		1.0 | 0.022966664263140993

 R   8 G 258    229    220.572      3.518		1.0 | 0.022966664263140993

 R   8 G 259    229     220.22      3.487		1.0 | 0.032966664263140995

 R   8 G 260    229    220.272      3.687		1.0 | 0.042966664263141

 R   8 G 261    229     220.42      3.533		0.99 | 0.022966664263140993

 R   8 G 262    229    220.748      3.549		1.0 | 0.032966664263140995

 R   8 G 263    229    220.444      3.752		1.0 | 0.032966664263140995

 R   8 G 264    229    220.304      3.762		1.0 | 0.032966664263140995

 R   8 G 265    227    220.596       3.41		0.99 | 0.022966664263140993

 R   8 G 266    229     220.78      3.649		1.0 | 0.022966664263140993

 R   8 G 267    229      220.5      3.495		1.0 | 0.032966664263140995

 R   8 G 268    229    220.504      3.647		0.99 | 0.022966664263140993

 R   8 G 269    229    220.272      3.451		1.0 | 0.022966664263140993

 R   8 G 270    229    220.652      3.641		0.99 | 0.022966664263140993

 R   8 G 271    231      220.5      3.547		0.99 | 0.022966664263140993

 R   8 G 272    231    220.452      3.596		0.99 | 0.042966664263141

 R   8 G 273    229    220.636      3.737		1.0 | 0.022966664263140993

 R   8 G 274    229    220.448      3.345		1.0 | 0.032966664263140995

 R   8 G 275    229    220.612      3.374		0.99 | 0.022966664263140993

 R   8 G 276    229    220.744      3.328		0.99 | 0.022966664263140993

 R   8 G 277    229    220.484       3.46		1.0 | 0.032966664263140995

 R   8 G 278    229    220.428       3.57		1.0 | 0.022966664263140993

 R   8 G 279    229    220.584      3.475		1.0 | 0.042966664263141

 R   8 G 280    229    220.344      3.484		0.99 | 0.022966664263140993

 R   8 G 281    229    220.252      3.457		1.0 | 0.022966664263140993

 R   8 G 282    231     220.28      3.501		0.99 | 0.022966664263140993

 R   8 G 283    229    220.524      3.546		0.98 | 0.022966664263140993

 R   8 G 284    229    220.316      3.557		1.0 | 0.022966664263140993

 R   8 G 285    229    220.196       3.65		1.0 | 0.032966664263140995

 R   8 G 286    229    220.484      3.483		1.0 | 0.032966664263140995

 R   8 G 287    233    220.636       3.53		0.99 | 0.022966664263140993

 R   8 G 288    229     220.36      3.445		1.0 | 0.032966664263140995

 R   8 G 289    229    220.348      3.745		0.99 | 0.022966664263140993

 R   8 G 290    229    220.436      3.569		1.0 | 0.022966664263140993

 R   8 G 291    229    220.384      3.609		1.0 | 0.022966664263140993

 R   8 G 292    229    220.296      3.619		0.99 | 0.022966664263140993

 R   8 G 293    229    220.372       3.65		1.0 | 0.032966664263140995

 R   8 G 294    229    220.272      3.432		0.99 | 0.012966664263140993

 R   8 G 295    229    220.476      3.573		0.99 | 0.032966664263140995

 R   8 G 296    229    220.656      3.616		1.0 | 0.032966664263140995

 R   8 G 297    229    220.264      3.597		1.0 | 0.032966664263140995

 R   8 G 298    229    220.408      3.391		1.0 | 0.032966664263140995

 R   8 G 299    229    220.328      3.444		1.0 | 0.032966664263140995

 R   8 G 300    229      220.6      3.386		1.0 | 0.032966664263140995

 R   8 G 301    229    220.252      3.406		1.0 | 0.032966664263140995

 R   8 G 302    229    220.536      3.453		1.0 | 0.032966664263140995

 R   8 G 303    229     220.22      3.471		1.0 | 0.032966664263140995
